artifact_id,modality,ground_truth_label,source_dataset,notes,artifact_path,text_source,text_fact,answer,verification_status,redistribution_status,local_only
A-DRONE-0001,audio,drone,drone_audio,DroneAudioDataset file; source_file=Binary_Drone_Audio/unknown/1-100032-A-00.wav; pending human listening verification,artifacts/audio/A-DRONE-0001.wav,platform_registry.md,Quadcopter rotor count = 4,4,dataset_metadata_pending_human,blocked_unlicensed,true
A-DRONE-0002,audio,drone,drone_audio,DroneAudioDataset file; source_file=Binary_Drone_Audio/unknown/1-100032-A-01.wav; pending human listening verification,artifacts/audio/A-DRONE-0002.wav,platform_registry.md,Quadcopter rotor count = 4,4,dataset_metadata_pending_human,blocked_unlicensed,true
A-DRONE-0003,audio,drone,drone_audio,DroneAudioDataset file; source_file=Binary_Drone_Audio/unknown/1-100032-A-02.wav; pending human listening verification,artifacts/audio/A-DRONE-0003.wav,platform_registry.md,Quadcopter rotor count = 4,4,dataset_metadata_pending_human,blocked_unlicensed,true
A-DRONE-0004,audio,drone,drone_audio,DroneAudioDataset file; source_file=Binary_Drone_Audio/unknown/1-100032-A-03.wav; pending human listening verification,artifacts/audio/A-DRONE-0004.wav,platform_registry.md,Quadcopter rotor count = 4,4,dataset_metadata_pending_human,blocked_unlicensed,true
A-DRONE-0005,audio,drone,drone_audio,DroneAudioDataset file; source_file=Binary_Drone_Audio/unknown/1-100032-A-04.wav; pending human listening verification,artifacts/audio/A-DRONE-0005.wav,platform_registry.md,Quadcopter rotor count = 4,4,dataset_metadata_pending_human,blocked_unlicensed,true
A-DRONE-0006,audio,drone,drone_audio,DroneAudioDataset file; source_file=Binary_Drone_Audio/unknown/1-100038-A-140.wav; pending human listening verification,artifacts/audio/A-DRONE-0006.wav,platform_registry.md,Quadcopter rotor count = 4,4,dataset_metadata_pending_human,blocked_unlicensed,true
A-DRONE-0007,audio,drone,drone_audio,DroneAudioDataset file; source_file=Binary_Drone_Audio/unknown/1-100038-A-141.wav; pending human listening verification,artifacts/audio/A-DRONE-0007.wav,platform_registry.md,Quadcopter rotor count = 4,4,dataset_metadata_pending_human,blocked_unlicensed,true
A-DRONE-0008,audio,drone,drone_audio,DroneAudioDataset file; source_file=Binary_Drone_Audio/unknown/1-100038-A-142.wav; pending human listening verification,artifacts/audio/A-DRONE-0008.wav,platform_registry.md,Quadcopter rotor count = 4,4,dataset_metadata_pending_human,blocked_unlicensed,true
A-DRONE-0009,audio,drone,drone_audio,DroneAudioDataset file; source_file=Binary_Drone_Audio/unknown/1-100038-A-143.wav; pending human listening verification,artifacts/audio/A-DRONE-0009.wav,platform_registry.md,Quadcopter rotor count = 4,4,dataset_metadata_pending_human,blocked_unlicensed,true
A-DRONE-0010,audio,drone,drone_audio,DroneAudioDataset file; source_file=Binary_Drone_Audio/unknown/1-100038-A-144.wav; pending human listening verification,artifacts/audio/A-DRONE-0010.wav,platform_registry.md,Quadcopter rotor count = 4,4,dataset_metadata_pending_human,blocked_unlicensed,true
A-ESC-AIRPLANE-01,audio,airplane,esc50,ESC-50 metadata label; source_file=1-11687-A-47.wav; pending human listening verification,artifacts/audio/A-ESC-AIRPLANE-01.wav,spectral_guide.md,Fixed-wing propeller detection range = 2500 m,2500 m,dataset_metadata_pending_human,esc50_full_noncommercial_local_only,true
A-ESC-AIRPLANE-02,audio,airplane,esc50,ESC-50 metadata label; source_file=1-24796-A-47.wav; pending human listening verification,artifacts/audio/A-ESC-AIRPLANE-02.wav,spectral_guide.md,Fixed-wing propeller detection range = 2500 m,2500 m,dataset_metadata_pending_human,esc50_full_noncommercial_local_only,true
A-ESC-ENGINE-01,audio,engine,esc50,ESC-50 metadata label; source_file=1-18527-A-44.wav; pending human listening verification,artifacts/audio/A-ESC-ENGINE-01.wav,spectral_guide.md,Diesel engine (heavy) detection range = 1200 m,1200 m,dataset_metadata_pending_human,esc50_full_noncommercial_local_only,true
A-ESC-ENGINE-02,audio,engine,esc50,ESC-50 metadata label; source_file=1-18527-B-44.wav; pending human listening verification,artifacts/audio/A-ESC-ENGINE-02.wav,spectral_guide.md,Diesel engine (heavy) detection range = 1200 m,1200 m,dataset_metadata_pending_human,esc50_full_noncommercial_local_only,true
A-ESC-HELICOPTER-01,audio,helicopter,esc50,ESC-50 metadata label; source_file=1-172649-A-40.wav; pending human listening verification,artifacts/audio/A-ESC-HELICOPTER-01.wav,spectral_guide.md,Helicopter rotor detection range = 3000 m,3000 m,dataset_metadata_pending_human,esc50_full_noncommercial_local_only,true
A-ESC-HELICOPTER-02,audio,helicopter,esc50,ESC-50 metadata label; source_file=1-172649-B-40.wav; pending human listening verification,artifacts/audio/A-ESC-HELICOPTER-02.wav,spectral_guide.md,Helicopter rotor detection range = 3000 m,3000 m,dataset_metadata_pending_human,esc50_full_noncommercial_local_only,true
A-ESC-SIREN-01,audio,siren,esc50,ESC-50 metadata label; source_file=1-31482-A-42.wav; pending human listening verification,artifacts/audio/A-ESC-SIREN-01.wav,spectral_guide.md,Siren (emergency) detection range = 1000 m,1000 m,dataset_metadata_pending_human,esc50_full_noncommercial_local_only,true
A-ESC-SIREN-02,audio,siren,esc50,ESC-50 metadata label; source_file=1-31482-B-42.wav; pending human listening verification,artifacts/audio/A-ESC-SIREN-02.wav,spectral_guide.md,Siren (emergency) detection range = 1000 m,1000 m,dataset_metadata_pending_human,esc50_full_noncommercial_local_only,true
